CustomerID,Timestamp,PurchaseValue
2660d9bc37,2018-06-01 23:11:26+00:00,0.0
d80be63c76,2018-06-01 21:57:17+00:00,29.0
9f992535f7,2018-06-01 21:48:04+00:00,34.0
f278ebef92,2018-06-01 21:40:30+00:00,54.4
15b98d8422,2018-06-01 21:23:49+00:00,68.0
27d165ed2c,2018-06-01 21:18:59+00:00,34.0
cf99a2cacc,2018-06-01 21:00:12+00:00,34.0
4fb8d010bc,2018-06-01 20:45:09+00:00,34.0
00f07d5354,2018-06-01 20:42:21+00:00,68.0
7e32a36ba1,2018-06-01 20:40:33+00:00,68.0
6a279bb95c,2018-06-01 20:39:16+00:00,54.4
5e3cae70ec,2018-06-01 20:37:15+00:00,68.0
437552df6d,2018-06-01 20:35:33+00:00,102.0
b7bc587c52,2018-06-01 20:33:56+00:00,68.0
c1672fd7d9,2018-06-01 20:33:12+00:00,28.0
e49b2d87f9,2018-06-01 20:19:52+00:00,68.0
418aa69708,2018-06-01 20:16:41+00:00,34.0
8543b8085a,2018-06-01 20:07:59+00:00,68.0
6d81d1a6f7,2018-06-01 19:53:40+00:00,34.0
5f25bff9ee,2018-06-01 19:51:54+00:00,68.0
aa3aaff06e,2018-06-01 19:50:40+00:00,68.0
9bd2432607,2018-06-01 19:45:16+00:00,68.0
3feb1af6c1,2018-06-01 19:44:37+00:00,34.0
8543b8085a,2018-06-01 19:40:05+00:00,68.0
9e81fc9347,2018-06-01 19:32:41+00:00,102.0
075f30db9d,2018-06-01 19:28:49+00:00,34.0
269fe6fcd8,2018-06-01 19:27:10+00:00,68.0
d72907f021,2018-06-01 19:20:19+00:00,68.0
66cb850ab4,2018-06-01 19:14:29+00:00,34.0
2b8b3c078a,2018-06-01 19:08:16+00:00,68.0
8ddafc0159,2018-06-01 18:53:59+00:00,0.0
25a759b42d,2018-06-01 18:46:34+00:00,34.0
29bce128ad,2018-06-01 18:42:25+00:00,28.0
9efac3474f,2018-06-01 18:21:02+00:00,34.0
a36b6f5efe,2018-06-01 18:20:06+00:00,34.0
1b304f320b,2018-06-01 18:11:20+00:00,25.5
72305ac8db,2018-06-01 18:06:11+00:00,68.0
967dd0c77c,2018-06-01 17:38:19+00:00,29.0
2b1d9e49e9,2018-06-01 17:32:37+00:00,29.0
0483c19338,2018-06-01 17:14:55+00:00,34.0
9524bda9cc,2018-06-01 17:12:58+00:00,28.0
3c09c9fe22,2018-06-01 16:41:33+00:00,34.0
f2e406540a,2018-06-01 16:08:56+00:00,68.0
ff2c74f2f8,2018-06-01 16:02:01+00:00,0.0
7ad7b759c7,2018-06-01 15:55:32+00:00,34.0
6b50d5255a,2018-06-01 15:47:34+00:00,34.0
bd8e92bdbd,2018-06-01 15:45:02+00:00,30.0
342a1e2a99,2018-06-01 15:41:06+00:00,54.4
d93dbc3583,2018-06-01 15:22:17+00:00,68.0
a8645eba98,2018-06-01 15:00:05+00:00,34.0
f3e340e20f,2018-06-01 14:55:36+00:00,102.0
dceb23f1fa,2018-06-01 14:49:25+00:00,0.0
8d05b7a5e0,2018-06-01 14:34:27+00:00,34.0
f6c6195d5d,2018-06-01 14:33:15+00:00,68.0
1704001268,2018-06-01 14:32:04+00:00,34.0
8f0cc10ad6,2018-06-01 14:30:35+00:00,0.0
262335e055,2018-06-01 14:21:34+00:00,68.0
d6d3839f68,2018-06-01 14:18:55+00:00,102.0
a4227945f0,2018-06-01 14:09:50+00:00,34.0
9543387938,2018-06-01 13:54:33+00:00,25.5
9543387938,2018-06-01 13:52:13+00:00,0.0
e891b1073a,2018-06-01 13:46:52+00:00,68.0
4baac4ff5f,2018-06-01 13:22:38+00:00,68.0
8a045fa6b3,2018-06-01 13:21:10+00:00,34.0
a0ed4a3fd7,2018-06-01 13:00:41+00:00,34.0
26069f4fff,2018-06-01 12:55:32+00:00,0.0
5c97b59d77,2018-06-01 12:37:22+00:00,25.5
5c97b59d77,2018-06-01 12:35:12+00:00,0.0
0df538c09f,2018-06-01 12:25:39+00:00,68.0
8393541545,2018-06-01 12:25:22+00:00,68.0
a8bbe2ff17,2018-06-01 12:17:46+00:00,68.0
e7872616fb,2018-06-01 12:13:05+00:00,68.0
8427f97528,2018-06-01 12:10:17+00:00,34.0
af80b39438,2018-06-01 12:10:12+00:00,34.0
490a064e53,2018-06-01 12:08:38+00:00,34.0
a12d64ac30,2018-06-01 12:02:27+00:00,34.0
79a2218380,2018-06-01 11:50:51+00:00,34.0
5e9f351423,2018-06-01 11:38:46+00:00,34.0
b86eb57ad8,2018-06-01 11:16:25+00:00,34.0
8667a20e43,2018-06-01 11:13:33+00:00,68.0
936854612f,2018-06-01 11:07:30+00:00,68.0
6628f75ae7,2018-06-01 10:59:01+00:00,34.0
6efd47b93d,2018-06-01 10:55:20+00:00,34.0
41f1018198,2018-06-01 10:41:37+00:00,34.0
90e101da6a,2018-06-01 10:41:06+00:00,68.0
12a58b9c83,2018-06-01 10:22:39+00:00,64.0
51186c3151,2018-06-01 10:13:44+00:00,102.0
2b4d716ffc,2018-06-01 10:07:43+00:00,28.0
49f57ae767,2018-06-01 10:02:00+00:00,34.0
839b181d99,2018-06-01 09:58:04+00:00,0.0
678c462cf2,2018-06-01 09:57:29+00:00,34.0
b0e0039f01,2018-06-01 09:50:12+00:00,68.0
143f74c52c,2018-06-01 09:49:31+00:00,68.0
69412bf329,2018-06-01 09:35:19+00:00,0.0
2ae8a8f40a,2018-06-01 09:28:24+00:00,102.0
f42d8a81a9,2018-06-01 09:13:22+00:00,102.0
2027b88d3f,2018-06-01 09:07:42+00:00,0.0
31da8306a3,2018-06-01 08:49:00+00:00,34.0
634e2520b5,2018-06-01 08:48:25+00:00,68.0
d9787ab9a2,2018-06-01 08:47:25+00:00,34.0
f8fc27a47b,2018-06-01 08:42:24+00:00,34.0
c4d07d4798,2018-06-01 08:26:37+00:00,68.0
5ae177183f,2018-06-01 08:14:42+00:00,68.0
eb3e48536a,2018-06-01 08:11:15+00:00,34.0
cadc26ae9a,2018-06-01 07:54:20+00:00,68.0
d5594deb60,2018-06-01 07:50:13+00:00,34.0
e35d4c4760,2018-06-01 07:46:12+00:00,0.0
208d079fe3,2018-06-01 07:43:44+00:00,87.75
b3b29b8bbd,2018-06-01 07:40:45+00:00,30.0
251b063600,2018-06-01 07:38:50+00:00,34.0
2c9875cea7,2018-06-01 07:35:48+00:00,68.0
f578cecbf1,2018-06-01 07:13:30+00:00,68.0
7007760fc1,2018-06-01 07:13:18+00:00,68.0
d7fbd8d626,2018-06-01 06:52:15+00:00,102.0
5ebf74adbb,2018-06-01 06:36:53+00:00,170.0
d97e34cd41,2018-06-01 06:19:18+00:00,57.8
a69a6d59b6,2018-06-01 06:18:07+00:00,34.0
ff2b7970f4,2018-06-01 06:16:38+00:00,0.0
2405468f40,2018-06-01 06:12:36+00:00,68.0
2a22556314,2018-06-01 05:34:22+00:00,34.0
73070eb1a0,2018-06-01 05:06:35+00:00,0.0
bb84d50246,2018-06-01 03:33:50+00:00,34.0
f7e113358b,2018-06-01 03:00:59+00:00,102.0
2956753dbf,2018-05-31 23:07:48+00:00,102.0
f87d811c1e,2018-05-31 21:52:18+00:00,68.0
c8b377aa43,2018-05-31 21:18:13+00:00,68.0
05ee9582fe,2018-05-31 21:16:18+00:00,34.0
41182fc91d,2018-05-31 21:08:04+00:00,34.0
a43f645492,2018-05-31 21:06:24+00:00,34.0
88dd08e24f,2018-05-31 21:02:30+00:00,34.0
2e2c19dd9d,2018-05-31 20:48:36+00:00,68.0
676386c032,2018-05-31 20:45:46+00:00,102.0
016fe5b5e9,2018-05-31 20:34:45+00:00,22.19
653a57fb3e,2018-05-31 20:28:27+00:00,68.0
5f4dbff552,2018-05-31 20:27:15+00:00,170.0
269a049b82,2018-05-31 20:27:07+00:00,68.0
68a3a8a3cf,2018-05-31 20:20:56+00:00,34.0
6cceb32be7,2018-05-31 20:13:22+00:00,34.0
ca5b16302c,2018-05-31 19:55:37+00:00,68.0
c91460dbce,2018-05-31 19:49:18+00:00,68.0
b45e020403,2018-05-31 19:46:18+00:00,68.0
816f8cff9d,2018-05-31 19:45:55+00:00,34.0
2cec6e9eba,2018-05-31 19:44:08+00:00,170.0
2bb438ffcd,2018-05-31 19:39:57+00:00,34.0
4b96b8f17b,2018-05-31 19:38:02+00:00,68.0
f0451ce6cc,2018-05-31 19:36:50+00:00,68.0
b8c4f1ac9d,2018-05-31 19:29:44+00:00,68.0
844fdcc83a,2018-05-31 19:29:42+00:00,0.0
de07d1b0a1,2018-05-31 19:25:49+00:00,34.0
04f29b3890,2018-05-31 19:24:44+00:00,62.0
f5695bbf22,2018-05-31 19:23:08+00:00,34.0
fd19c63a83,2018-05-31 19:17:33+00:00,34.0
db0412b1ee,2018-05-31 19:11:28+00:00,68.0
e5005c68b0,2018-05-31 19:08:58+00:00,34.0
4cedd686f5,2018-05-31 19:02:35+00:00,34.0
c0c98e53b9,2018-05-31 18:56:27+00:00,0.0
22f8c91962,2018-05-31 18:48:35+00:00,34.0
1a2bec3487,2018-05-31 18:38:10+00:00,102.0
99dbe84c04,2018-05-31 18:31:17+00:00,34.0
3102bc48eb,2018-05-31 18:31:02+00:00,0.0
f05993397e,2018-05-31 18:30:36+00:00,68.0
3102bc48eb,2018-05-31 18:29:20+00:00,0.0
3102bc48eb,2018-05-31 18:26:29+00:00,0.0
